defensive_team,mean_dhar,arrival_rate
ARI,0.38597026,0.2571428571428571
ATL,0.33953035,0.1978021978021978
BAL,0.4264662,0.26506024096385544
BUF,0.45792454,0.36619718309859156
CAR,0.44761613,0.2833333333333333
CHI,0.43733537,0.3614457831325301
CIN,0.39403883,0.3119266055045872
CLE,0.41610235,0.36
DAL,0.3386922,0.2926829268292683
DEN,0.3343568,0.2564102564102564
DET,0.41315562,0.2818181818181818
GB,0.45365313,0.2236842105263158
HOU,0.46693036,0.23655913978494625
IND,0.5026617,0.32222222222222224
JAX,0.5179581,0.3956043956043956
KC,0.5141683,0.27586206896551724
LA,0.3850775,0.2336448598130841
LAC,0.34083334,0.2777777777777778
LV,0.3799933,0.2777777777777778
MIA,0.47161764,0.3125
MIN,0.5377196,0.3333333333333333
NE,0.43327296,0.2621359223300971
NO,0.38534,0.21818181818181817
NYG,0.48244876,0.3333333333333333
NYJ,0.371156,0.25
PHI,0.4228289,0.38613861386138615
PIT,0.36636153,0.24731182795698925
SEA,0.41595685,0.22077922077922077
SF,0.49160993,0.22784810126582278
TB,0.47953287,0.34615384615384615
TEN,0.40066022,0.2682926829268293
WAS,0.43017617,0.28
